source,title,link,summary,published,fetched_at
Wired Tech,Proposed NASA Budget Cuts ‘Would Decimate American Leadership in Space’,https://www.wired.com/story/proposed-nasa-budget-cuts-would-decimate-american-leadership-in-space/,The approximate 20 percent budget cut could force the closure of the Goddard Space Flight Center and would see projects such as the Nancy Grace Roman Space Telescope scrapped.,"Sat, 12 Apr 2025 08:00:00 +0000",2025-04-13 18:41:45
Ars Technica,Trump White House budget proposal eviscerates science funding at NASA,https://arstechnica.com/space/2025/04/trump-white-house-budget-proposal-eviscerates-science-funding-at-nasa/,"""This would decimate American leadership in space.""","Fri, 11 Apr 2025 13:15:44 +0000",2025-04-13 18:42:03
Ars Technica,Rocket Report: “No man’s land” in rocket wars; Isaacman lukewarm on SLS,https://arstechnica.com/space/2025/04/rocket-report-no-mans-land-in-rocket-wars-isaacman-lukewarm-on-sls/,China's approach to space junk is worrisome as it begins launching its own megaconstellations.,"Fri, 11 Apr 2025 11:00:29 +0000",2025-04-13 18:42:03
MIT Tech Review,How AI can help supercharge creativity,https://www.technologyreview.com/2025/04/10/1114256/ai-creativity-art-collaboration-music/,"Sometimes Lizzie Wilson shows up to a rave with her AI sidekick.&#160; One weeknight this past February, Wilson plugged her laptop into a projector that threw her screen onto the wall of a low-ceilinged loft space in East London. A small crowd shuffled in the glow of dim pink lights. Wilson sat down and started&#8230;","Thu, 10 Apr 2025 09:00:00 +0000",2025-04-13 18:42:04
NASA,Sols 4507-4508: “Just Keep Driving”,https://science.nasa.gov/blog/sols-4507-4508-just-keep-driving/,"Written by Natalie Moore, Mission Operations Specialist at Malin Space Science Systems Earth planning date: Wednesday, April 9, 2025 Our drive from Monday’s plan was mostly successful, putting us ~22 meters down the “road” out of an expected 30 meters. A steering command halted the drive a little short when we tried to turn-in-place but […]","Fri, 11 Apr 2025 23:27:17 +0000",2025-04-13 18:42:26
NASA,NASA-Developed Tools at Marshall Support Operations to Space Station,https://www.nasa.gov/centers-and-facilities/marshall/nasa-developed-tools-at-marshall-support-operations-to-station/,"Two new automation tools developed at NASA’s Marshall Space Flight Center in Huntsville, Alabama, are geared toward improving operations for flight controllers working with the International Space Station from the Huntsville Operations Support Center. The tools, called AutoDump and Permanently Missing Intervals Checker, will free the flight control team to focus on situational awareness, anomaly [&#8230;]","Fri, 11 Apr 2025 19:00:00 +0000",2025-04-13 18:42:26
NASA,GLOBE Mission Earth Supports Career Technical Education,https://science.nasa.gov/learning-resources/science-activation/globe-mission-earth-supports-career-technical-education/,"The NASA Science Activation program’s GLOBE Mission EARTH (GME) project is forging powerful connections between career technical education (CTE) programs and real-world science, inspiring students across the United States to pursue careers in Science, Technology, Engineering, and Mathematics (STEM). GME is a collaborative effort between NASA scientists, educators, and schools that brings NASA Earth science […]","Fri, 11 Apr 2025 18:03:47 +0000",2025-04-13 18:42:26
NASA,Apollo 13 Launch: 55 Years Ago,https://www.nasa.gov/image-article/apollo-13-launch-55-years-ago/,"NASA astronauts Jim Lovell, Fred Haise, and Jack Swigert launch aboard the Apollo 13 spacecraft from NASA’s Kennedy Space Center in Florida on April 11, 1970. The mission seemed to be going smoothly until 55 hours and 55 minutes in when an oxygen tank ruptured. The new mission plan involved abandoning the Moon landing, looping [&#8230;]","Fri, 11 Apr 2025 15:58:46 +0000",2025-04-13 18:42:26
NASA,NASA’s IMAP Arrives at NASA Marshall For Testing in XRCF,https://www.nasa.gov/centers-and-facilities/marshall/nasas-imap-arrives-at-nasa-marshall-for-testing-in-xrcf/,"On March 18, NASA’s IMAP (Interstellar Mapping and Acceleration Probe) arrived at NASA’s Marshall Space Flight Center in Huntsville, Alabama, for thermal vacuum testing at the X-ray and Cryogenic Facility, which simulates the harsh conditions of space. The IMAP mission is a modern-day celestial cartographer that will map the solar system by studying the&#160;heliosphere, a [&#8230;]","Fri, 11 Apr 2025 15:00:00 +0000",2025-04-13 18:42:26
NASA,Hubble Captures a Star’s Swan Song,https://science.nasa.gov/missions/hubble/hubble-captures-a-stars-swan-song/,"The swirling, paint-like clouds in the darkness of space in this stunning image seem surreal, like a portal to another world opening before us. In fact, the subject of this NASA/ESA Hubble Space Telescope image is very real. We are seeing vast clouds of ionized atoms thrown into space by a dying star. This is […]","Fri, 11 Apr 2025 11:00:00 +0000",2025-04-13 18:42:26
