source,title,link,summary,published,fetched_at
TechCrunch,Why an Amazon driver could be the one who saves your life,https://techcrunch.com/2025/04/12/could-an-amazon-driver-could-be-the-one-who-saves-your-life/,"In a quiet transformation from merchandising giant to (also) healthcare giant, Amazon may be positioning its sprawling logistics network and growing medical footprint to potentially save lives, starting with your front door. According to Bloomberg, back in 2023, Amazon piloted a several months-long pilot program called Project Pulse, equipping delivery vans with defibrillators and training [&#8230;]","Sun, 13 Apr 2025 02:56:40 +0000",2025-04-13 18:41:45
TechCrunch,Apple’s ‘Mythic Quest’ is ending with an updated Season 4 finale,https://techcrunch.com/2025/04/12/apples-mythic-quest-is-ending-with-an-updated-season-4-finale/,"“Mythic Quest,” the Apple TV+ workplace comedy about the making of a popular online roleplaying game, is ending after four seasons. A new version of the show’s fourth season finale — first aired on March 26, and now the de facto series finale — will premiere on Apple TV+ next week, with a new ending. [&#8230;]","Sat, 12 Apr 2025 20:15:45 +0000",2025-04-13 18:41:45
TechCrunch,OpenAI co-founder Ilya Sutskever’s Safe Superintelligence reportedly valued at $32B,https://techcrunch.com/2025/04/12/openai-co-founder-ilya-sutskevers-safe-superintelligence-reportedly-valued-at-32b/,"Safe Superintelligence (SSI), the AI startup led by OpenAI’s co-founder and former chief scientist Ilya Sutskever, has raised an additional $2 billion in funding at a $32 billion valuation, according to the Financial Times. The startup had already raised $1 billion, and there were reports that an additional $1 billion round was in the works. [&#8230;]","Sat, 12 Apr 2025 19:38:31 +0000",2025-04-13 18:41:45
TechCrunch,Cofertility’s radical model for women: Freeze your eggs for free by donating half of them,https://techcrunch.com/2025/04/12/cofertility-lets-women-freeze-their-eggs-for-free-through-its-donor-matching-program/,"In recent years, focus on career and delayed marriage age is driving some women to consider preserving their fertility through egg freezing. But the steep cost of the procedure, estimated at $10,000 to $15,000 per attempt, means many women can&#8217;t afford it during their most fertile years: 20s and early 30s. Cofertility, a startup founded [&#8230;]","Sat, 12 Apr 2025 19:25:45 +0000",2025-04-13 18:41:45
TechCrunch,"Trump exempts smartphones, laptops, and semiconductors from new tariffs",https://techcrunch.com/2025/04/12/trump-exempts-smartphones-laptops-and-semiconductors-from-new-tariffs/,"The Trump administration is carving out big tariff exemptions for the tech industry. While President Donald Trump said Wednesday that he would delay many of the market-shaking tariffs that he’d announced the previous week, he kept a universal baseline 10% tariff in place, while also increasing tariffs on Chinese goods to 125% (on top of [&#8230;]","Sat, 12 Apr 2025 17:11:51 +0000",2025-04-13 18:41:45
TechCrunch,Week in Review: Jeff Bezos’ secret EV startup,https://techcrunch.com/2025/04/12/week-in-review-jeff-bezos-secret-ev-startup/,"Welcome back to Week in Review! We&#8217;ve got tons of cool stuff for your reading pleasure this week: Jeff Bezos backs EV startup Slate; a Meta whistleblower accuses the company of collusion; Waymo may use interior camera data; and much more. Let&#8217;s get to it! I want this: Slate, an EV startup, has the ambitious [&#8230;]","Sat, 12 Apr 2025 17:09:32 +0000",2025-04-13 18:41:45
TechCrunch,The xAI–X merger is a good deal — if you’re betting on Musk’s empire,https://techcrunch.com/2025/04/12/the-xai-x-merger-is-a-good-deal-if-youre-betting-on-musks-empire/,"When Elon Musk announced that his AI startup, xAI, had acquired his social media company, X (formerly known as Twitter), in an all-stock deal, it raised some eyebrows. But in many ways, the deal made sense. xAI’s chatbot, Grok, was already deeply integrated with X, X was floundering financially, and Musk needed a way to [&#8230;]","Sat, 12 Apr 2025 14:00:00 +0000",2025-04-13 18:41:45
TechCrunch,"Forerunner’s long game: As startups stall before IPO, all options are on the table",https://techcrunch.com/2025/04/11/forerunners-long-game-as-startups-stall-before-ipo-all-options-are-on-the-table/,"Thirteen years ago, Forerunner Ventures began helping to usher in a new era of consumer startups, including Warby Parker, Bonobos, and Glossier. None has gone through a traditional IPO process. Warby Parker was taken public through a special purpose acquisition vehicle. Bonobos was acquired by Walmart. Glossier is still privately held, along with many other [&#8230;]","Sat, 12 Apr 2025 00:29:35 +0000",2025-04-13 18:41:45
TechCrunch,Meta’s vanilla Maverick AI model ranks below rivals on a popular chat benchmark,https://techcrunch.com/2025/04/11/metas-vanilla-maverick-ai-model-ranks-below-rivals-on-a-popular-chat-benchmark/,"Earlier this week, Meta landed in hot water for using an experimental, unreleased version of its Llama 4 Maverick model to achieve a high score on a crowdsourced benchmark, LM Arena. The incident prompted the maintainers of LM Arena to apologize, change their policies, and score the unmodified, vanilla Maverick. Turns out, it&#8217;s not very [&#8230;]","Fri, 11 Apr 2025 22:46:22 +0000",2025-04-13 18:41:45
TechCrunch,The most interesting startups showcased at Google Cloud Next,https://techcrunch.com/2025/04/11/the-most-interesting-startups-showcased-at-google-cloud-next/,Google Cloud announced a long list of impressive AI startups as customers during its Cloud Next conference this week,"Fri, 11 Apr 2025 21:32:01 +0000",2025-04-13 18:41:45
TechCrunch,Meta adds Stripe CEO Patrick Collison and Dina Powell McCormick to its board,https://techcrunch.com/2025/04/11/meta-adds-stripe-ceo-patrick-collison-and-dina-powell-mccormick-to-its-board/,"Banking executive and former presidential advisor Dina Powell McCormick and Stripe co-founder and CEO Patrick Collison are joining the board of Meta, according to a report from Axios. Powell McCormick spent 16 years in several leadership roles at Goldman Sachs. She also served as Deputy National Security Advisor to President Donald J. Trump during his [&#8230;]","Fri, 11 Apr 2025 21:29:42 +0000",2025-04-13 18:41:45
